Prognosis,Symptom
Hepatitis C,yellowish_skin
Hepatitis C,nausea
Hepatitis C,loss_of_appetite
Hepatitis C,yellowing_of_eyes
Hepatitis C,family_history
Hepatitis D,joint_pain
Hepatitis D,vomiting
Hepatitis D,fatigue
Hepatitis D,yellowish_skin
Hepatitis D,dark_urine
Hepatitis D,nausea
Hepatitis D,loss_of_appetite
Hepatitis D,abdominal_pain
Hepatitis D,yellowing_of_eyes
Hepatitis E,joint_pain
Hepatitis E,vomiting
Hepatitis E,fatigue
Hepatitis E,high_fever
Hepatitis E,yellowish_skin
Hepatitis E,dark_urine
Hepatitis E,nausea
Hepatitis E,loss_of_appetite
Hepatitis E,abdominal_pain
Hepatitis E,yellowing_of_eyes
Hepatitis E,acute_liver_failure
Hepatitis E,coma
Hepatitis E,stomach_bleeding
Hypertension ,headache
Hypertension ,chest_pain
Hypertension ,dizziness
Hypertension ,loss_of_balance
Hypertension ,lack_of_concentration
Hyperthyroidism,fatigue
Hyperthyroidism,mood_swings
Hyperthyroidism,weight_loss
Hyperthyroidism,restlessness
Hyperthyroidism,sweating
Hyperthyroidism,diarrhoea
Hyperthyroidism,fast_heart_rate
Hyperthyroidism,excessive_hunger
Hyperthyroidism,muscle_weakness
Hyperthyroidism,irritability
Hyperthyroidism,abnormal_menstruation
Hypoglycemia,vomiting
Hypoglycemia,fatigue
Hypoglycemia,anxiety
Hypoglycemia,sweating
Hypoglycemia,headache
Hypoglycemia,nausea
Hypoglycemia,blurred_and_distorted_vision
Hypoglycemia,excessive_hunger
Hypoglycemia,drying_and_tingling_lips
Hypoglycemia,slurred_speech
Hypoglycemia,irritability
Hypoglycemia,palpitations
Hypothyroidism,fatigue
Hypothyroidism,weight_gain
Hypothyroidism,cold_hands_and_feets
Hypothyroidism,mood_swings
Hypothyroidism,lethargy
Hypothyroidism,dizziness
Hypothyroidism,puffy_face_and_eyes
Hypothyroidism,enlarged_thyroid
Hypothyroidism,brittle_nails
Hypothyroidism,swollen_extremeties
Hypothyroidism,depression
Hypothyroidism,irritability
Hypothyroidism,abnormal_menstruation
Impetigo,skin_rash
Impetigo,high_fever
Impetigo,blister
Impetigo,red_sore_around_nose
Impetigo,yellow_crust_ooze
Jaundice,itching
Jaundice,vomiting
Jaundice,fatigue
Jaundice,weight_loss
Jaundice,high_fever
Jaundice,yellowish_skin
Jaundice,dark_urine
Jaundice,abdominal_pain
Malaria,chills
Malaria,vomiting
Malaria,high_fever
Malaria,sweating
Malaria,headache
Malaria,nausea
Malaria,diarrhoea
Malaria,muscle_pain
Migraine,acidity
Migraine,indigestion
Migraine,headache
Migraine,blurred_and_distorted_vision
Migraine,excessive_hunger
Migraine,stiff_neck
Migraine,depression
Migraine,irritability
Migraine,visual_disturbances
Osteoarthristis,joint_pain
Osteoarthristis,neck_pain
Osteoarthristis,knee_pain
Osteoarthristis,hip_joint_pain
Osteoarthristis,swelling_joints
Osteoarthristis,painful_walking
Paralysis (brain hemorrhage),vomiting
Paralysis (brain hemorrhage),headache
Paralysis (brain hemorrhage),weakness_of_one_body_side
Paralysis (brain hemorrhage),altered_sensorium
Peptic ulcer diseae,vomiting
Peptic ulcer diseae,indigestion
Peptic ulcer diseae,loss_of_appetite
Peptic ulcer diseae,abdominal_pain
Peptic ulcer diseae,passage_of_gases
Peptic ulcer diseae,internal_itching
Pneumonia,chills
Pneumonia,fatigue
Pneumonia,cough
Pneumonia,high_fever
Pneumonia,breathlessness
Pneumonia,sweating
Pneumonia,malaise
Pneumonia,phlegm
Pneumonia,chest_pain
Pneumonia,fast_heart_rate
Pneumonia,rusty_sputum
Psoriasis,skin_rash
Psoriasis,joint_pain
Psoriasis,skin_peeling
Psoriasis,silver_like_dusting
Psoriasis,small_dents_in_nails
Psoriasis,inflammatory_nails
Tuberculosis,chills
Tuberculosis,vomiting
Tuberculosis,fatigue
Tuberculosis,weight_loss
Tuberculosis,cough
Tuberculosis,high_fever
Tuberculosis,breathlessness
Tuberculosis,sweating
Tuberculosis,loss_of_appetite
Tuberculosis,mild_fever
Tuberculosis,yellowing_of_eyes
Tuberculosis,swelled_lymph_nodes
Tuberculosis,malaise
Tuberculosis,phlegm
Tuberculosis,chest_pain
Tuberculosis,blood_in_sputum
Typhoid,chills
Typhoid,vomiting
Typhoid,fatigue
Typhoid,high_fever
Typhoid,headache
Typhoid,nausea
Typhoid,constipation
Typhoid,abdominal_pain
Typhoid,diarrhoea
Typhoid,toxic_look_(typhos)
Typhoid,belly_pain
Urinary tract infection,burning_micturition
Urinary tract infection,bladder_discomfort
Urinary tract infection,foul_smell_of urine
Urinary tract infection,continuous_feel_of_urine
Varicose veins,fatigue
Varicose veins,cramps
Varicose veins,bruising
Varicose veins,obesity
Varicose veins,swollen_legs
Varicose veins,swollen_blood_vessels
Varicose veins,prominent_veins_on_calf
hepatitis A,joint_pain
hepatitis A,vomiting
hepatitis A,yellowish_skin
hepatitis A,dark_urine
hepatitis A,nausea
hepatitis A,loss_of_appetite
hepatitis A,abdominal_pain
hepatitis A,diarrhoea
hepatitis A,mild_fever
hepatitis A,yellowing_of_eyes
hepatitis A,muscle_pain
